circuit_index,noisy_counts,ideal_counts
2067,"{""1000"": 20, ""0000"": 870, ""0100"": 48, ""0001"": 20, ""1001"": 12, ""0010"": 10, ""1011"": 4, ""0101"": 2, ""1100"": 1, ""0110"": 5, ""0011"": 4, ""1101"": 3, ""1010"": 1}","{""0000"": 1000}"
2068,"{""111"": 230, ""110"": 27, ""000"": 466, ""101"": 24, ""100"": 205, ""010"": 24, ""001"": 16, ""011"": 8}","{""000"": 516, ""100"": 260, ""111"": 224}"
2069,"{""11001"": 105, ""10001"": 108, ""01011"": 176, ""10011"": 187, ""00011"": 128, ""01110"": 22, ""10000"": 4, ""01001"": 25, ""10111"": 4, ""10010"": 14, ""11011"": 81, ""11100"": 22, ""00010"": 8, ""11000"": 6, ""00001"": 34, ""10110"": 24, ""10100"": 3, ""11110"": 5, ""00110"": 4, ""01010"": 13, ""11101"": 2, ""00000"": 6, ""01111"": 5, ""00100"": 4, ""01100"": 3, ""11010"": 2, ""00111"": 3, ""10101"": 1, ""11111"": 1}","{""11011"": 85, ""00011"": 133, ""01011"": 164, ""10011"": 225, ""10001"": 100, ""11001"": 132, ""00001"": 37, ""01110"": 40, ""10110"": 25, ""01001"": 21, ""11110"": 8, ""11100"": 20, ""00100"": 7, ""00110"": 2, ""01100"": 1}"
2070,"{""100"": 871, ""111"": 14, ""101"": 28, ""110"": 33, ""001"": 16, ""000"": 25, ""010"": 9, ""011"": 4}","{""100"": 1000}"
2071,"{""00000"": 183, ""11000"": 80, ""00001"": 16, ""10000"": 429, ""10010"": 34, ""11011"": 4, ""01101"": 3, ""10100"": 24, ""00100"": 18, ""01000"": 36, ""01100"": 9, ""11101"": 22, ""11001"": 24, ""01001"": 42, ""01010"": 5, ""00101"": 5, ""10001"": 22, ""11111"": 2, ""00010"": 13, ""10101"": 3, ""11010"": 7, ""10110"": 6, ""00011"": 2, ""01011"": 4, ""10011"": 1, ""11100"": 5, ""11110"": 1}","{""10000"": 745, ""00000"": 255}"
2072,"{""0000"": 35, ""0010"": 26, ""0111"": 137, ""0011"": 283, ""0101"": 141, ""0001"": 292, ""0100"": 12, ""0110"": 19, ""1101"": 7, ""1000"": 8, ""1001"": 17, ""1111"": 8, ""1100"": 3, ""1011"": 5, ""1110"": 5, ""1010"": 2}","{""0111"": 174, ""0101"": 164, ""0001"": 335, ""0011"": 290, ""0000"": 13, ""0010"": 13, ""0100"": 7, ""0110"": 4}"
2073,"{""0110"": 850, ""1110"": 32, ""0100"": 30, ""0011"": 6, ""0000"": 16, ""0010"": 41, ""0111"": 9, ""0001"": 1, ""1100"": 2, ""1010"": 1, ""0101"": 7, ""1000"": 4, ""1111"": 1}","{""0110"": 984, ""0010"": 16}"
2074,"{""00001"": 3, ""01001"": 37, ""11000"": 197, ""10001"": 13, ""01000"": 23, ""01101"": 188, ""11101"": 206, ""11111"": 8, ""11001"": 183, ""01111"": 8, ""11011"": 9, ""01100"": 16, ""11100"": 30, ""10101"": 15, ""00000"": 5, ""11010"": 7, ""01010"": 4, ""00101"": 8, ""11110"": 3, ""00100"": 9, ""01110"": 3, ""10000"": 11, ""10100"": 4, ""10011"": 1, ""00110"": 1, ""01011"": 5, ""10110"": 1, ""10111"": 1, ""00111"": 1}","{""11000"": 257, ""01101"": 266, ""11101"": 230, ""11001"": 247}"
2075,"{""01001"": 8, ""10101"": 25, ""10010"": 164, ""10011"": 22, ""01111"": 19, ""00111"": 164, ""10110"": 20, ""10001"": 125, ""00100"": 158, ""11010"": 15, ""11001"": 15, ""00000"": 27, ""10100"": 24, ""10111"": 21, ""00101"": 20, ""00001"": 25, ""11000"": 5, ""01100"": 6, ""00011"": 23, ""11111"": 9, ""00110"": 29, ""00010"": 17, ""01000"": 3, ""11101"": 8, ""10000"": 13, ""01101"": 6, ""11100"": 5, ""11011"": 10, ""01010"": 4, ""01011"": 3, ""01110"": 4, ""11110"": 3}","{""00011"": 3, ""10010"": 266, ""10101"": 7, ""00100"": 228, ""00111"": 245, ""10001"": 251}"
2076,"{""01000"": 67, ""00000"": 562, ""00001"": 71, ""10000"": 64, ""11000"": 36, ""00011"": 1, ""00100"": 60, ""10100"": 20, ""00101"": 6, ""11110"": 1, ""11100"": 1, ""00010"": 20, ""10010"": 14, ""10001"": 17, ""11010"": 4, ""10101"": 3, ""01100"": 13, ""01010"": 14, ""10111"": 1, ""01110"": 2, ""01001"": 5, ""00110"": 5, ""10011"": 2, ""11111"": 1, ""11001"": 6, ""01011"": 2, ""11011"": 1, ""01111"": 1}","{""00000"": 907, ""00001"": 93}"
2077,"{""011"": 29, ""010"": 448, ""110"": 420, ""000"": 36, ""101"": 9, ""100"": 8, ""001"": 23, ""111"": 27}","{""010"": 504, ""110"": 496}"
2078,"{""1010"": 314, ""0000"": 94, ""1000"": 93, ""0010"": 351, ""1101"": 4, ""1110"": 33, ""0110"": 31, ""1100"": 10, ""0111"": 19, ""0011"": 11, ""0100"": 10, ""1111"": 13, ""1011"": 5, ""0001"": 4, ""1001"": 8}","{""0010"": 402, ""1001"": 3, ""1010"": 367, ""1000"": 73, ""0000"": 105, ""0110"": 5, ""1111"": 10, ""1100"": 1, ""0111"": 20, ""0100"": 3, ""1110"": 10, ""0001"": 1}"
2079,"{""000"": 380, ""011"": 40, ""001"": 194, ""100"": 151, ""101"": 75, ""010"": 94, ""110"": 49, ""111"": 17}","{""001"": 196, ""100"": 182, ""000"": 374, ""101"": 104, ""011"": 32, ""010"": 64, ""111"": 18, ""110"": 30}"
2080,"{""010"": 455, ""000"": 416, ""100"": 16, ""111"": 26, ""101"": 11, ""011"": 29, ""110"": 26, ""001"": 21}","{""000"": 477, ""010"": 523}"
